SPU,Class.L1,Class.L2,Class.L3
SPU_010177,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_010196,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_010448,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_011176,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_011655,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_011793,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_011851,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_012065,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_012362,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_012494,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_013084,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_013572,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_014777,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_015160,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_015163,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_015198,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_015300,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_016363,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_016723,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_017042,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_017226,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_017521,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_018050,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_018579,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_019231,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_019694,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
SPU_020525,Adhesion,Adhesion_ReceptorGPCR,Adhesion_ReceptorGPCR
