NW_022145594.1:3023235_3026398	29.79	36.63	20.77	24.23
NW_022145594.1:3079849_3095975	18.47	22.22	23.07	25.53
NW_022145594.1:3115970_3124211	77.07	78.98	44.15	33.96
NW_022145594.1:3152813_3155164	18.45	38.7	19.05	28.24
NW_022145594.1:3163357_3163406	42.16	39.55	44.24	49.92
NW_022145594.1:3163444_3176584	20.35	30.92	10.42	23.16
NW_022145594.1:3363150_3363212	62.95	49.37	13.24	50.29
NW_022145594.1:3366043_3368168	9.11	13.79	9.72	15.37
NW_022145594.1:3394212_3394289	42.58	41.27	20.84	38.34
NW_022145594.1:3394389_3395013	38.48	19.47	9.8	30.39
NW_022145594.1:3395406_3395457	62.86	55.02	19.55	45.02
NW_022145594.1:3416818_3416849	47.45	48.81	18.29	48.77
NW_022145594.1:3447605_3447634	47.48	63.79	19.24	70.41
NW_022145594.1:3478815_3478916	28.75	15.14	17.71	19.42
NW_022145594.1:3598544_3599287	23.84	74.24	18.67	30.04
NW_022145594.1:3599406_3599946	44.29	68.51	26.93	50.49
NW_022145594.1:3607412_3608976	13.81	45.03	7.24	41.06
NW_022145594.1:3617345_3619691	40.91	56.88	21.5	31.66
NW_022145594.1:3711788_3713761	32.42	33.56	30.88	54.4
NW_022145594.1:3760043_3760069	45.46	88.96	22.58	28.27
NW_022145594.1:3762301_3762420	34.71	24.67	22.19	26.84
NW_022145594.1:3772862_3775442	65.62	97.75	48.51	34.85
NW_022145594.1:3956928_3959068	15.78	26.82	9.13	31.18
NW_022145594.1:3964319_3964400	22.98	28.41	19.93	56.11
NW_022145594.1:3970807_3971617	11.31	24.47	8.8	17.79
NW_022145594.1:3977299_3977453	84.1	72.1	19.84	44.9
NW_022145594.1:3997264_3997390	28.3	35.98	10.24	35.84
NW_022145594.1:4001733_4001830	87.78	56.78	25.0	81.81
NW_022145594.1:4012314_4012436	11.64	15.51	10.39	11.47
NW_022145594.1:4033210_4033486	32.85	40.3	6.16	26.6
NW_022145594.1:4034581_4034636	69.25	48.44	20.87	79.33
NW_022145594.1:4049463_4050864	29.28	27.58	8.66	23.92
NW_022145594.1:4055649_4055775	29.91	36.21	19.04	50.61
NW_022145594.1:4060092_4060547	24.08	36.54	11.49	36.61
NW_022145594.1:4155583_4164723	49.62	81.82	30.58	25.14
NW_022145594.1:4167630_4167927	45.06	82.55	71.64	24.54
NW_022145594.1:4317636_4338839	8.51	22.2	8.71	13.53
NW_022145594.1:4353058_4356070	17.02	15.42	9.04	12.77
NW_022145594.1:4356234_4357249	35.9	38.35	13.37	61.28
NW_022145594.1:4362640_4363470	50.33	30.65	11.32	19.28
NW_022145594.1:4366111_4366827	27.88	26.45	12.47	28.76
NW_022145594.1:4368424_4369619	20.31	22.17	17.16	32.19
NW_022145594.1:4377907_4378025	43.22	48.87	18.92	26.74
NW_022145594.1:4383688_4387375	22.06	28.46	9.84	21.0
NW_022145594.1:4394632_4400811	11.63	17.93	5.94	11.51
NW_022145594.1:4406413_4408573	29.82	30.05	12.33	47.0
NW_022145594.1:4418009_4418495	40.58	23.11	14.06	27.89
NW_022145594.1:4444454_4447421	45.76	51.71	24.21	18.5
NW_022145594.1:4480212_4480492	32.41	59.41	23.17	59.6
NW_022145594.1:4505444_4507164	51.96	43.37	14.51	7.87
NW_022145594.1:4524287_4536530	29.49	24.72	9.95	14.07
NW_022145594.1:4606021_4606088	95.57	61.12	12.21	77.97
